NAME,YEAR,MONTH,DAY,PERIOD,1,2,3,4,5,6,7,8,9,10
Salto_Sim,2019,1,1,1,883,883,883,883,883,883,883,883,883,883
Salto_Sim,2019,1,7,1,712.4184336,947.0073986,654.5603641,871.4460978,1344.918305,690.9113985,598.0738901,1735.724649,675.0942103,1099.7295
Salto_Sim,2019,1,14,1,1078.163935,879.2340015,601.2675063,452.7078688,1360.419994,447.3339591,1649.785329,3433.026958,1221.681986,1548.030399
Salto_Sim,2019,1,21,1,2050.83814,575.9392541,855.2867297,528.1760864,1322.065812,493.0786232,1717.613907,5421.681313,1682.168024,521.4318598
Salto_Sim,2019,1,28,1,1698.670266,1163.862584,1338.788569,1130.93425,1226.347498,298.9485974,683.5149249,6436.019716,1171.723983,518.7562757
Salto_Sim,2019,2,4,1,3599.333583,1804.39201,2003.400808,1924.897015,824.8285597,262.1645089,1223.304609,6347.235856,1782.208591,296.8097412
Salto_Sim,2019,2,11,1,1611.119261,1621.582462,1016.028423,2953.523619,1685.890105,296.4044066,2283.356678,2074.696421,3174.615206,575.3769923
Salto_Sim,2019,2,18,1,2444.93451,2190.095916,1676.661511,4534.342761,3407.161789,751.5996875,3601.322726,1786.756692,1293.983242,1089.388762
Salto_Sim,2019,2,25,1,490.0972863,2195.509119,645.7414954,2835.153996,4776.805034,859.6986084,3840.367204,1541.7365,366.8222298,567.2096074
Salto_Sim,2019,3,4,1,825.5505788,834.9761241,925.5720471,1547.486088,6434.370843,439.6156772,1087.569988,1439.713924,267.8054589,1481.82669
Salto_Sim,2019,3,11,1,843.8308921,370.7133657,839.867957,311.1340819,9702.681295,451.5912067,1514.385633,2200.541195,232.3914126,5097.148253
Salto_Sim,2019,3,18,1,880.2205373,510.7383756,490.8729426,397.9393805,4493.885099,413.0868355,1059.727258,2480.417682,440.9143694,4302.865857
Salto_Sim,2019,3,25,1,1252.380118,529.6529765,2145.119171,2101.297604,4453.738631,310.7191564,815.4345952,800.265158,389.9397692,1211.378166
